SourcePatent,CitedPatent
US2014342445-A1,US5827729-A
US2014342445-A1,US20020072116-A1
US2014342445-A1,US20110053207-A1
US2014342445-A1,US20110250585-A1
US10087422-B2,US5827729-A
US10087422-B2,US20020072116-A1
US10087422-B2,US20110053207-A1
US10087422-B2,US20110250585-A1
US10087422-B2,US20080220516-A1
US10087422-B2,US20100267136-A1
US10087422-B2,US20130309677-A1
US10087422-B2,US20140342445-A1
US10087422-B2,US8968543-B2
US10087422-B2,WO2006047758-A1
US10087422-B2,WO2008051265-A2
US10087422-B2,WO2010009307-A2
US2019032021-A1,US20090275072-A1
US11732226-B2,WO2019036666-A1
US11732226-B2,US20040038420-A1
US11732226-B2,US20100267142-A1
US11732226-B2,US20120101268-A1
US11732226-B2,US20180126037-A1
US11732226-B2,US20180216058-A1
US11732226-B2,US20180223251-A1
US11732226-B2,US20180230415-A1
US11732226-B2,US20180312810-A1
US11732226-B2,US20200190456-A1
US11732226-B2,US6867048-B2
US11732226-B2,US8003378-B2
US11732226-B2,US10360819-B2
US11732226-B2,US10633623-B2
US11732226-B2,WO2013086486-A1
US11732226-B2,WO2019191111-A1
US11732226-B2,WO2020073043-A1
EP3830244-A4,CN107828655-A
EP3830244-A4,EP3138904-A1
EP3830244-A4,US5554536-A
EP3830244-A4,WO2003100417-A1
EP3830244-A4,WO2018079793-A1
US11654161-B2,US20060270032-A1
US11654161-B2,US20070015210-A1
US11654161-B2,US20150267164-A1
US2021108178-A1,US20120209378-A1
EP4139048-A4,US20140273223-A1
EP4139048-A4,US20140302594-A1
EP4139048-A4,WO2017143049-A1
US10995225-B2,EP954965-A1
US10995225-B2,US20090269380-A1
US10995225-B2,US20140364391-A1
US10995225-B2,US20150064455-A1
US10995225-B2,WO2015066171-A1
WO2021108554-A3,WO2018187380-A1
US2022356433-A1,US20140335496-A1
US2022356433-A1,WO2020028720-A1
CN113840907-A,CN104822821-A
CN113840907-A,CN106232801-A
CN113840907-A,CN107949635-A
CN113840907-A,CN109152797-A
CN113840907-A,US20030215941-A1
CN113840907-A,WO2017164797-A1
CN111655837-A,CN102124096-A
CN111655837-A,CN106459898-A
CN111655837-A,US20140308688-A1
US2020392441-A1,WO2014052835-A1
US2020392441-A1,WO2010009307-A2
EP3728552-B1,WO2013086329-A1
US2021101146-A1,US20030152646-A1
US2021101146-A1,US20130203086-A1
US2021101146-A1,US20170015964-A1
US2021101146-A1,US20210324316-A1
US11738340-B2,US20030152646-A1
US11738340-B2,US20130203086-A1
US11738340-B2,US20170015964-A1
US11738340-B2,US20210324316-A1
US11738340-B2,US20110154655-A1
US11738340-B2,US20140142370-A1
US11738340-B2,US20150031116-A1
US11738340-B2,WO2013116834-A2
US11738340-B2,WO2015157390-A9
US11261414-B2,US4072577-A
US11261414-B2,US6054100-A
US11261414-B2,US20110174820-A1
US11261414-B2,US20150329816-A1
US11261414-B2,US20180085726-A1
US11261414-B2,US20180209731-A1
US11261414-B2,US6379626-B1
US11261414-B2,US9844780-B2
US11261414-B2,CN204369902-U
US11261414-B2,US20070231887-A1
US11261414-B2,US20150072413-A1
US11261414-B2,US20150299631-A1
US11261414-B2,US20170227525-A1
US11261414-B2,WO2013139798-A1
US11261414-B2,WO2013144253-A1
US11261414-B2,WO2014016379-A1
US11261414-B2,WO2016189142-A1
US11261414-B2,WO2017091718-A1
US11261414-B2,WO2017096296-A1
US2013236879-A1,US20110201669-A1
CN104271168-A,US20030049839-A1
CN104271168-A,WO2012016711-A1
CN104271168-A,WO2009042639-A2
US9034571-B2,US20030049839-A1
US9034571-B2,US20080300691-A1
US9034571-B2,US20100075293-A1
US9034571-B2,US20100136114-A1
US9034571-B2,US20110020950-A1
US9034571-B2,US20110201669-A1
US2015212071-A1,US20100279268-A1
US2015212071-A1,US20110033543-A1
US2015212071-A1,US6197575-B1
EP2822612-A4,WO2012016711-A1
EP2822612-A4,WO2009042639-A2
US2015004077-A1,US20020146817-A1
US2015004077-A1,US20040248318-A1
US2015004077-A1,US20050221269-A1
US2015004077-A1,US20100028850-A1
US2015004077-A1,US20100129784-A1
US2015004077-A1,US20110086382-A1
US2015004077-A1,US20110229927-A1
US2019106665-A1,US20020146817-A1
US2019106665-A1,US20040248318-A1
US2019106665-A1,US20080200343-A1
US2019106665-A1,US20080261288-A1
US2019106665-A1,US20100129784-A1
US2019106665-A1,US20110071055-A1
US10954482-B2,US20020146817-A1
US10954482-B2,US20040248318-A1
US10954482-B2,US20080200343-A1
US10954482-B2,US20080261288-A1
US10954482-B2,US20100129784-A1
US10954482-B2,US20110071055-A1
US10954482-B2,DE2431918-A
US10954482-B2,EA8075-B1
US10954482-B2,EA14429-B1
US10954482-B2,EP539383-A1
US10954482-B2,EP637996-A1
US10954482-B2,EP637997-A1
US10954482-B2,EP823483-A1
US10954482-B2,EP1820846-A1
US10954482-B2,ES2287351-T3
US10954482-B2,FR1598245-A
US10954482-B2,FR2786783-A1
US10954482-B2,GB863707-A
US10954482-B2,JP04152885-A
US10954482-B2,JP2001521789-A1
US10954482-B2,JP2005514971-A1
US10954482-B2,JP2007501633-A1
US10954482-B2,RU2301677-C1
US10954482-B2,RU2168174-C2
US10954482-B2,US3300386-A
US10954482-B2,US3313290-A
US10954482-B2,US3722504-A
US10954482-B2,US3941662-A
US10954482-B2,US3948732-A
US10954482-B2,US4225671-A
US10954482-B2,US4436824-A
US10954482-B2,US4446229-A
US10954482-B2,US4537860-A
US10954482-B2,US4610878-A
US10954482-B2,US4629686-A
US10954482-B2,US4650766-A
US10954482-B2,US4673650-A
US10954482-B2,US4720462-A
US10954482-B2,US4734372-A
US10954482-B2,US4737455-A
US10954482-B2,US4749654-A
US10954482-B2,US4835102-A
US10954482-B2,US4839280-A
US10954482-B2,US4851354-A
US10954482-B2,US4929542-A
US10954482-B2,US4940853-A
US10954482-B2,US5002890-A
US10954482-B2,US5043260-A
US10954482-B2,US5108926-A
US10954482-B2,US5160490-A
US10954482-B2,US5217899-A
US10954482-B2,US5290684-A
US10954482-B2,US5316905-A
US10954482-B2,US5348879-A
US10954482-B2,US5486335-A
US10954482-B2,US5496697-A
US10954482-B2,US5498392-A
US10954482-B2,US5587128-A
US10954482-B2,US5612188-A
US10954482-B2,US5637469-A
US10954482-B2,US5726026-A
US10954482-B2,US5744366-A
US10954482-B2,US5750329-A
US10954482-B2,US5820769-A
US10954482-B2,US5900160-A
US10954482-B2,US5906828-A
US10954482-B2,US6048723-A
US10954482-B2,US6054277-A
US10954482-B2,US6133030-A
US10954482-B2,US20020129813-A1
US10954482-B2,US20020173033-A1
US10954482-B2,US20030021792-A1
US10954482-B2,US20030082795-A1
US10954482-B2,US20030096405-A1
US10954482-B2,US20030175824-A1
US10954482-B2,US20040034435-A1
US10954482-B2,US20040132166-A1
US10954482-B2,US20050032205-A1
US10954482-B2,US20050169962-A1
US10954482-B2,US20050221269-A1
US10954482-B2,US20050266393-A1
US10954482-B2,US20050273995-A1
US10954482-B2,US20060019326-A1
US10954482-B2,US20060099116-A1
US10954482-B2,US20060154361-A1
US10954482-B2,US20060263336-A1
US10954482-B2,US20060270023-A1
US10954482-B2,US20070015273-A1
US10954482-B2,US20070015274-A1
US10954482-B2,US20070015275-A1
US10954482-B2,US20070020693-A1
US10954482-B2,US20070026519-A1
US10954482-B2,US20070037273-A1
US10954482-B2,US20070037275-A1
US10954482-B2,US20070037277-A1
US10954482-B2,US20070048727-A1
US10954482-B2,US20070122794-A1
US10954482-B2,US20070122896-A1
US10954482-B2,US20070144514-A1
US10954482-B2,US20070172943-A1
US10954482-B2,US20070207194-A1
US10954482-B2,US20070224677-A1
US10954482-B2,US20070243627-A1
US10954482-B2,US20070275435-A1
US10954482-B2,US20070275455-A1
US10954482-B2,US20070275882-A1
US10954482-B2,US20070281353-A1
US10954482-B2,US20080032380-A1
US10954482-B2,US20080064088-A1
US10954482-B2,US20080166794-A1
US10954482-B2,US20080166795-A1
US10954482-B2,US20080233607-A1
US10954482-B2,US20080318334-A1
US10954482-B2,US20090028755-A1
US10954482-B2,US20090074623-A1
US10954482-B2,US20090078614-A1
US10954482-B2,US20090131858-A1
US10954482-B2,US20090134235-A1
US10954482-B2,US20090220932-A1
US10954482-B2,US20100028850-A1
US10954482-B2,US20100041128-A1
US10954482-B2,US20100043494-A1
US10954482-B2,US20100267136-A1
US10954482-B2,US20100294986-A1
US10954482-B2,US20100304355-A1
US10954482-B2,US20100323439-A1
US10954482-B2,US20110000482-A1
US10954482-B2,US20110027804-A1
US10954482-B2,US20110053207-A1
US10954482-B2,US20110086382-A1
US10954482-B2,US20110183312-A1
US10954482-B2,US20110229927-A1
US10954482-B2,US20110250585-A1
US10954482-B2,US20110269226-A1
US10954482-B2,US20110287469-A1
US10954482-B2,US20120003732-A1
US10954482-B2,US20120088693-A1
US10954482-B2,US20120135446-A1
US10954482-B2,US20120135452-A1
US10954482-B2,US20120199487-A1
US10954482-B2,US20120214189-A1
US10954482-B2,US20120318726-A1
US10954482-B2,US20120322097-A1
US10954482-B2,US20130059322-A1
US10954482-B2,US20130109594-A1
US10954482-B2,US6197575-B1
US10954482-B2,US6255106-B1
US10954482-B2,US6306644-B1
US10954482-B2,US6329195-B1
US10954482-B2,US6472202-B1
US10954482-B2,US6498010-B1
US10954482-B2,US6530370-B1
US10954482-B2,US6562616-B1
US10954482-B2,US6586235-B1
US10954482-B2,US6645432-B1
US10954482-B2,US6653124-B1
US10954482-B2,US7314718-B1
US10954482-B2,US7790028-B1
US10954482-B2,US6454924-B2
US10954482-B2,US6630801-B2
US10954482-B2,US6645759-B2
US10954482-B2,US6730516-B2
US10954482-B2,US6921253-B2
US10954482-B2,US6998265-B2
US10954482-B2,US7049057-B2
US10954482-B2,US7288405-B2
US10954482-B2,US7438856-B2
US10954482-B2,US7745209-B2
US10954482-B2,US7763456-B2
US10954482-B2,US7960166-B2
US10954482-B2,US7964078-B2
US10954482-B2,US7976795-B2
US10954482-B2,US7977089-B2
US10954482-B2,US7985336-B2
US10954482-B2,US8030061-B2
US10954482-B2,US8147562-B2
US10954482-B2,US8187863-B2
US10954482-B2,US8268152-B2
US10954482-B2,US8273572-B2
US10954482-B2,US8318479-B2
US10954482-B2,US8343740-B2
US10954482-B2,US8357528-B2
US10954482-B2,US8460546-B2
US10954482-B2,US8470589-B2
US10954482-B2,WO1982003227-A
US10954482-B2,WO1991002049-A
US10954482-B2,WO1992016826-A1
US10954482-B2,WO1993011498-A1
US10954482-B2,WO2003037042-A1
US10954482-B2,WO2003043675-A1
US10954482-B2,WO2005014175-A1
US10954482-B2,WO2005100537-A1
US10954482-B2,WO2005110408-A1
US10954482-B2,WO2006047758-A1
US10954482-B2,WO2012016711-A1
US10954482-B2,WO2012154729-A1
US10954482-B2,WO2012154834-A1
US10954482-B2,WO2013056019-A1
US10954482-B2,WO2008040015-A2
US10954482-B2,WO2008051265-A2
US10954482-B2,WO2009089189-A2
US10954482-B2,WO2010009307-A2
US10954482-B2,WO2010062911-A2
US10954482-B2,WO2011014674-A2
US10954482-B2,WO2012118799-A2
US10954482-B2,WO1999022781-A3
US10954482-B2,WO1999047922-A3
US10954482-B2,WO2003027223-A3
US10954482-B2,WO2003082145-A3
US10954482-B2,WO2004101743-A3
US10954482-B2,WO2007021343-A3
US10954482-B2,WO2010123594-A9
US2021388301-A1,US20110086382-A1
US11773359-B2,US20110086382-A1
US11773359-B2,DE2431918-A
US11773359-B2,EA200601901-A1
US11773359-B2,EA8075-B1
US11773359-B2,EP539383-A1
US11773359-B2,EP637996-A1
US11773359-B2,EP637997-A1
US11773359-B2,EP823483-A1
US11773359-B2,EP1820846-A1
US11773359-B2,ES2287351-T3
US11773359-B2,FR1598245-A
US11773359-B2,FR2786783-A1
US11773359-B2,GB863707-A
US11773359-B2,JP04152885-A
US11773359-B2,JP2001521789-A1
US11773359-B2,JP2005514971-A1
US11773359-B2,JP2007501633-A1
US11773359-B2,RU2301677-C1
US11773359-B2,RU2168174-C2
US11773359-B2,US3300386-A
US11773359-B2,US3313290-A
US11773359-B2,US3722504-A
US11773359-B2,US3941662-A
US11773359-B2,US3948732-A
US11773359-B2,US4225671-A
US11773359-B2,US4436824-A
US11773359-B2,US4446229-A
US11773359-B2,US4537860-A
US11773359-B2,US4610878-A
US11773359-B2,US4629686-A
US11773359-B2,US4650766-A
US11773359-B2,US4673650-A
US11773359-B2,US4720462-A
US11773359-B2,US4734372-A
US11773359-B2,US4737455-A
US11773359-B2,US4749654-A
US11773359-B2,US4835102-A
US11773359-B2,US4839280-A
US11773359-B2,US4851354-A
US11773359-B2,US4929542-A
US11773359-B2,US4940853-A
US11773359-B2,US5002890-A
US11773359-B2,US5043260-A
US11773359-B2,US5108926-A
US11773359-B2,US5160490-A
US11773359-B2,US5217899-A
US11773359-B2,US5290684-A
US11773359-B2,US5316905-A
US11773359-B2,US5348879-A
US11773359-B2,US5486335-A
US11773359-B2,US5496697-A
US11773359-B2,US5498392-A
US11773359-B2,US5587128-A
US11773359-B2,US5612188-A
US11773359-B2,US5637469-A
US11773359-B2,US5726026-A
US11773359-B2,US5744366-A
US11773359-B2,US5750329-A
US11773359-B2,US5820769-A
US11773359-B2,US5900160-A
US11773359-B2,US5906828-A
US11773359-B2,US6048723-A
US11773359-B2,US6054277-A
US11773359-B2,US6133030-A
US11773359-B2,US20020129813-A1
US11773359-B2,US20020146817-A1
US11773359-B2,US20020173033-A1
US11773359-B2,US20030021792-A1
US11773359-B2,US20030082795-A1
US11773359-B2,US20030096405-A1
US11773359-B2,US20030175824-A1
US11773359-B2,US20040034435-A1
US11773359-B2,US20040132166-A1
US11773359-B2,US20040248318-A1
US11773359-B2,US20050032205-A1
US11773359-B2,US20050169962-A1
US11773359-B2,US20050221269-A1
US11773359-B2,US20050266393-A1
US11773359-B2,US20050273995-A1
US11773359-B2,US20060019326-A1
US11773359-B2,US20060099116-A1
US11773359-B2,US20060154361-A1
US11773359-B2,US20060263336-A1
US11773359-B2,US20060270023-A1
US11773359-B2,US20070015273-A1
US11773359-B2,US20070015274-A1
US11773359-B2,US20070015275-A1
US11773359-B2,US20070020693-A1
US11773359-B2,US20070026519-A1
US11773359-B2,US20070037273-A1
US11773359-B2,US20070037275-A1
US11773359-B2,US20070037277-A1
US11773359-B2,US20070048727-A1
US11773359-B2,US20070122794-A1
US11773359-B2,US20070122896-A1
US11773359-B2,US20070144514-A1
US11773359-B2,US20070172943-A1
US11773359-B2,US20070207194-A1
US11773359-B2,US20070224677-A1
US11773359-B2,US20070243627-A1
US11773359-B2,US20070275435-A1
US11773359-B2,US20070275455-A1
US11773359-B2,US20070275882-A1
US11773359-B2,US20070281353-A1
US11773359-B2,US20080032380-A1
US11773359-B2,US20080064088-A1
US11773359-B2,US20080166794-A1
US11773359-B2,US20080166795-A1
US11773359-B2,US20080200343-A1
US11773359-B2,US20080233607-A1
US11773359-B2,US20080261288-A1
US11773359-B2,US20080318334-A1
US11773359-B2,US20090028755-A1
US11773359-B2,US20090074623-A1
US11773359-B2,US20090078614-A1
US11773359-B2,US20090131858-A1
US11773359-B2,US20090134235-A1
US11773359-B2,US20090220932-A1
US11773359-B2,US20100028850-A1
US11773359-B2,US20100041128-A1
US11773359-B2,US20100043494-A1
US11773359-B2,US20100129784-A1
US11773359-B2,US20100267136-A1
US11773359-B2,US20100294986-A1
US11773359-B2,US20100304355-A1
US11773359-B2,US20100323439-A1
US11773359-B2,US20110000482-A1
US11773359-B2,US20110027804-A1
US11773359-B2,US20110053207-A1
US11773359-B2,US20110071055-A1
US11773359-B2,US20110183312-A1
US11773359-B2,US20110229927-A1
US11773359-B2,US20110250585-A1
US11773359-B2,US20110269226-A1
US11773359-B2,US20110287469-A1
US11773359-B2,US20120003732-A1
US11773359-B2,US20120088693-A1
US11773359-B2,US20120135446-A1
US11773359-B2,US20120135452-A1
US11773359-B2,US20120199487-A1
US11773359-B2,US20120214189-A1
US11773359-B2,US20120318726-A1
US11773359-B2,US20120322097-A1
US11773359-B2,US20130059322-A1
US11773359-B2,US20130109594-A1
US11773359-B2,US6197575-B1
US11773359-B2,US6255106-B1
US11773359-B2,US6306644-B1
